cell_id,protocol_id,replicate_id,protocol_type,protocol_variant,efc_lifetime,cycles_90,average_current,normalized_current_variance,maximum_discharge_current,relative_charge_fraction,rest_fraction_at_high_soc,rest_soc,peak_frequency_1,peak_frequency_2
cell_060,Synthetic_1a_Co10,B,Synthetic,1a,562.7877916,586.0966324,0.10231052984437945,0.5867405865040498,1.4578339507017453,0.0641114621958372,0.2533673476867101,0.4947458871233159,0.00029160674528765,0.00032400749476405
cell_057,Synthetic_1a_Co16,A,Synthetic,1a,477.9460448,475.2913778,0.0648627870613972,0.368051796426516,0.9121598834095905,0.0646740907351112,0.23642525220945637,0.5268434451282313,0.0003220134449694,0.0006440268899388501
cell_058,Synthetic_1a_Co16,B,Synthetic,1a,444.23637,437.9793747,0.0648627870613972,0.368051796426516,0.9121598834095905,0.0646740907351112,0.23642525220945637,0.5268434451282313,0.0003220134449694,0.0006440268899388501
cell_061,Synthetic_1a_Co5,A,Synthetic,1a,711.0206595,813.7011391,0.2249553634446954,1.1157445111576216,2.900196794184217,0.0713392990122052,0.29471129544593533,0.49138128325328956,0.0002265354563997,0.0003020472751996
cell_062,Synthetic_1a_Co5,B,Synthetic,1a,707.9366413,803.0861442,0.2249553634446954,1.1157445111576216,2.900196794184217,0.0713392990122052,0.29471129544593533,0.49138128325328956,0.0002265354563997,0.0003020472751996
cell_071,Synthetic_1b_Co10,A,Synthetic,1b,712.8595694,774.8436134,0.11651369522570479,0.568304547159107,1.8569981099197772,0.0744245291361371,0.0008540769510159501,0.32993599592414635,3.74594969320973e-05,7.49189938641946e-05
cell_072,Synthetic_1b_Co10,B,Synthetic,1b,684.3532243,738.6529734,0.11651369522570479,0.568304547159107,1.8569981099197772,0.0744245291361371,0.0008540769510159501,0.32993599592414635,3.74594969320973e-05,7.49189938641946e-05
cell_063,Synthetic_1b_Co16,A,Synthetic,1b,536.9935562,548.5054516,0.06472376227281024,0.3642451922333489,1.1611475919320542,0.06552490561441965,0.00096516867616605,0.3725244279856885,6.089392278650592e-05,8.119189704867455e-05
cell_064,Synthetic_1b_Co16,B,Synthetic,1b,502.2807898,512.5579159,0.06472376227281024,0.3642451922333489,1.1611475919320542,0.06552490561441965,0.00096516867616605,0.3725244279856885,6.089392278650592e-05,8.119189704867455e-05
cell_065,Synthetic_2a_Co10,A,Synthetic,2a,534.8032272,484.5616656,0.09020561233617036,0.20445699225910624,0.6243533986111439,0.2099254964662946,0.0026714387349191498,0.5440832814244962,0.0026830590346037866,0.0053400841589027505
cell_066,Synthetic_2a_Co10,B,Synthetic,2a,543.4396941,493.3622393,0.09020561233617036,0.20445699225910624,0.6243533986111439,0.2099254964662946,0.0026714387349191498,0.5440832814244962,0.0026830590346037866,0.0053400841589027505
cell_069,Synthetic_2a_Co2,A,Synthetic,2a,851.9559778,898.8375075,0.4480871155479462,0.986275612475114,2.900476411836921,0.2136630105600827,0.0004448024853874,0.5376896152829653,0.002520572332038,0.0053376825854923
cell_070,Synthetic_2a_Co2,B,Synthetic,2a,847.5253598,887.9892051,0.4480871155479462,0.986275612475114,2.900476411836921,0.2136630105600827,0.0004448024853874,0.5376896152829653,0.002520572332038,0.0053376825854923
cell_067,Synthetic_2a_Co5,A,Synthetic,2a,690.8196817,658.2364911,0.17943272239993524,0.40761586863786825,1.2475794208658066,0.21155482504705395,0.001500264186919,0.5238319300186517,0.0026115473444644497,0.00530642496362855
cell_068,Synthetic_2a_Co5,B,Synthetic,2a,682.3695245,650.6211918,0.17943272239993524,0.40761586863786825,1.2475794208658066,0.21155482504705395,0.001500264186919,0.5238319300186517,0.0026115473444644497,0.00530642496362855
cell_073,Synthetic_2b_Co10,A,Synthetic,2b,429.2230468,433.9269308,0.10415346929738226,0.08100910353766799,0.5267359083756289,0.06055206284931115,0.002015864600086,0.539274338143888,6.012693811978491e-05,0.036241463145900196
cell_074,Synthetic_2b_Co10,B,Synthetic,2b,467.8786987,481.1303615,0.10415346929738226,0.08100910353766799,0.5267359083756289,0.06055206284931115,0.002015864600086,0.539274338143888,6.012693811978491e-05,0.036241463145900196
cell_077,Synthetic_2b_Co2,A,Synthetic,2b,747.8316557,874.2536489,0.5331560049268214,0.38766211019562763,2.6269150269130366,0.0578497671146498,0.00014691100193325,0.5731149792979827,0.00032655775969374996,0.0360846324461647
cell_078,Synthetic_2b_Co2,B,Synthetic,2b,671.0626062,777.1255305,0.5331560049268214,0.38766211019562763,2.6269150269130366,0.0578497671146498,0.00014691100193325,0.5731149792979827,0.00032655775969374996,0.0360846324461647
cell_075,Synthetic_2b_Co5,A,Synthetic,2b,580.9410711,622.7747592,0.2105053290194622,0.1607071261469008,1.051039304566099,0.0609117402798205,0.00057649749690145,0.5577179198526975,0.00012396209406040002,0.02167179180084555
cell_076,Synthetic_2b_Co5,B,Synthetic,2b,582.4611902,619.5490519,0.2105053290194622,0.1607071261469008,1.051039304566099,0.0609117402798205,0.00057649749690145,0.5577179198526975,0.00012396209406040002,0.02167179180084555
cell_081,Synthetic_2c_Co10,A,Synthetic,2c,408.0300407,411.0156829,0.09620871589241255,0.10061864004054616,0.5182762599170125,0.09952261071717235,0.0012400699371441,0.5459965119207135,5.7872268969568004e-05,0.06393413293135919
