cell_id,recipe_id,partition,discharge_specific_capacity_cycle30_mah_g,cell_capacity_mah,active_mass_mg,electrode_thickness_um,porosity_pct,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied,active_material_fraction_pct,binder_cmc_fraction_pct,binder_sbr_fraction_pct,conductive_additive_fraction_pct,mixing_solids_pct
ASC-45,protocol-f3ae9bcb49de,PROSPECTIVE_MODEL_VALIDATION,,4.407420899792291,11.847905644602932,65.2,42.63,0.2,150.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-46,protocol-899621a76f90,PROSPECTIVE_MODEL_VALIDATION,0.004959219379456635,4.322390271500478,11.619328686829242,80.9,56.05,0.2,150.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-47,protocol-899621a76f90,PROSPECTIVE_MODEL_VALIDATION,373.1058647184912,4.099184872234471,11.019314172673308,77.8,56.52,0.2,150.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-48,protocol-899621a76f90,PROSPECTIVE_MODEL_VALIDATION,352.6334100916859,4.50308035662058,12.105054722098332,82.4,55.09,0.2,150.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-49,protocol-c1c280b7366f,PROSPECTIVE_MODEL_VALIDATION,392.2977195283108,2.7812101337113733,7.47637132718111,49.8,51.05,0.2,100.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-50,protocol-c1c280b7366f,PROSPECTIVE_MODEL_VALIDATION,0.07955023433074365,2.880412533385155,7.74304444458375,48.7,47.81,0.2,100.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-51,protocol-c1c280b7366f,PROSPECTIVE_MODEL_VALIDATION,399.28595167764337,2.682007734037593,7.209698209778475,46.5,48.74,0.2,100.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-52,protocol-d3602183e567,PROSPECTIVE_MODEL_VALIDATION,403.79332379720444,2.940642561758523,7.9049531230067815,58.6,57.31,0.2,100.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-53,protocol-d3602183e567,PROSPECTIVE_MODEL_VALIDATION,403.1638038492916,2.752866590947436,7.400179007923215,54.1,56.19,0.2,100.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-54,protocol-d3602183e567,PROSPECTIVE_MODEL_VALIDATION,399.7900228215989,2.9016701904581077,7.800188684027171,55.2,54.81,0.2,100.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-58,protocol-fd150c39c22f,PROSPECTIVE_MODEL_VALIDATION,392.8046406993511,3.0185873043593507,8.114482000965996,57.7,55.32,0.4,100.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-59,protocol-fd150c39c22f,PROSPECTIVE_MODEL_VALIDATION,390.84828204438827,3.1107038183421474,8.362107038554159,59.3,55.35,0.4,100.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-60,protocol-fd150c39c22f,PROSPECTIVE_MODEL_VALIDATION,393.8770550868998,2.965443161676967,7.971621402357438,55.6,54.16,0.4,100.0,60.0,0.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-61,protocol-04acc12b3f71,PROSPECTIVE_MODEL_VALIDATION,,2.9158419618400777,7.8382848436561225,48.0,46.19,0.4,100.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-62,protocol-04acc12b3f71,PROSPECTIVE_MODEL_VALIDATION,383.6248496595817,2.9052131333036004,7.8097127239344095,50.5,49.62,0.4,100.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-63,protocol-04acc12b3f71,PROSPECTIVE_MODEL_VALIDATION,384.9945183133984,2.9158419618400777,7.8382848436561225,47.8,45.91,0.4,100.0,60.0,1.0,95.24039907237083,1.501569040251631,2.2511940431504245,1.00683784422711,49.5
ASC-55,protocol-e025bc31c00a,PROSPECTIVE_MODEL_VALIDATION,,6.952522850674319,18.689577555576125,122.8,54.76,0.2,200.0,60.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-56,protocol-e025bc31c00a,PROSPECTIVE_MODEL_VALIDATION,249.8234282038965,6.895854299675445,18.537242741063025,124.9,55.95,0.2,200.0,60.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-57,protocol-e025bc31c00a,PROSPECTIVE_MODEL_VALIDATION,314.309418377083,6.8923125152380145,18.527721815155953,121.4,54.6,0.2,200.0,60.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-64,protocol-cd579bfa2fd9,PROSPECTIVE_MODEL_VALIDATION,,6.715223293366535,18.05167551980251,81.1,31.08,0.2,200.0,60.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-65,protocol-cd579bfa2fd9,PROSPECTIVE_MODEL_VALIDATION,114.62016424972613,6.860436455301149,18.442033481992336,80.9,29.37,0.2,200.0,60.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-66,protocol-cd579bfa2fd9,PROSPECTIVE_MODEL_VALIDATION,109.53852603140888,6.828560395364281,18.356345148828712,81.1,29.9,0.2,200.0,60.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-73,protocol-f4f7ce9330b4,PROSPECTIVE_MODEL_VALIDATION,,6.244165963188397,16.78539237416236,115.2,56.56,0.2,200.0,70.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
