benchmark_seed,strategy,step,query_id,candidate_id,C1,C2,C3,C4,trust_region_length,success_counter,failure_counter,expanded,contracted,restarted,global_escape,best_observed_lifetime,simulated_lifetime
1,turbo_nei,25,Q_S01_turbo_nei_ST25,ATTIA_CONT_dce64d5f66cd,4.813599797557645,6.179380366885607,4.039878890091033,4.624749982262365,0.1,0,0,False,True,False,False,1185.0,1160.0
2,turbo_nei,1,Q_S02_turbo_nei_ST01,ATTIA_CONT_dead782a2571,4.704779178558866,6.6737013983967834,5.42822089841224,3.4877329548193594,0.8,0,1,False,False,False,False,937.0,626.0
2,turbo_nei,2,Q_S02_turbo_nei_ST02,ATTIA_CONT_cbe71f1e0d94,3.8691820209675902,5.5628754495387795,5.359956795466468,4.795037158153426,0.8,1,0,False,False,False,False,1029.0,1029.0
2,turbo_nei,3,Q_S02_turbo_nei_ST03,ATTIA_CONT_f04c07d86f5c,4.073933116222166,5.246105589559954,5.369538822561711,4.738955294084532,0.8,0,1,False,False,False,False,1029.0,805.0
2,turbo_nei,4,Q_S02_turbo_nei_ST04,ATTIA_CONT_4edb3b84bb40,3.8755359249688,5.5065174337592095,5.3929084951563375,4.801394607371591,0.8,1,0,False,False,False,False,1354.0,1354.0
2,turbo_nei,5,Q_S02_turbo_nei_ST05,ATTIA_CONT_e79c072354c4,3.8810290012328963,5.504699627115449,5.3949295723123685,4.792771989847821,0.8,0,1,False,False,False,False,1354.0,635.0
2,turbo_nei,6,Q_S02_turbo_nei_ST06,ATTIA_CONT_40048a8d9ba4,5.075746626896303,6.238598611294918,4.595312945744848,3.869781266962232,0.8,0,2,False,False,False,False,1354.0,1059.0
2,turbo_nei,7,Q_S02_turbo_nei_ST07,ATTIA_CONT_2d8ccf4e5131,5.290573226527068,6.328342814583284,5.355097449158374,3.33822181443799,0.8,0,3,False,False,False,False,1354.0,656.0
2,turbo_nei,8,Q_S02_turbo_nei_ST08,ATTIA_CONT_17587080c971,4.997707764919807,5.575342944537208,5.073992951880589,3.894126563952103,0.8,0,4,False,False,False,False,1354.0,743.0
2,turbo_nei,9,Q_S02_turbo_nei_ST09,ATTIA_CONT_d4f02d57971f,5.072652474510489,6.053382242125135,5.350726719393539,3.519758449605498,0.4,0,0,False,True,False,False,1354.0,926.0
