Library,Area,i_lim [A/cm^2],k^0 [cm/s],alpha [a.u.]
Ir-rich,65,7.746594853998738,0.0045445755945586,0.280990438453189
Ir-rich,18,7.707154669562421,0.003895648411439,0.2854247468730999
Ir-rich,83,7.718448676013827,0.0041549020122142,0.2820152574814388
Ir-rich,162,7.665543984447868,0.0053999643516481,0.2611027787457528
Ir-rich,139,7.658445992164571,0.0050231515668565,0.2619147327474155
Ir-rich,209,7.8954011981330865,0.0062269949332495,0.2711408038753114
Ir-rich,228,7.863225576664952,0.0065786391248217,0.2641575246104061
Ir-rich,286,7.836553849556346,0.0070297303234332,0.2665904825676001
Ir-rich,70,7.697934812504504,0.0048154073869218,0.2958774112048496
Ir-rich,36,7.602183242129368,0.004651473734406,0.2972766965477106
Ir-rich,2,7.553399679131227,0.0025038615234146,0.2859954657902828
Ir-rich,148,7.833514591825125,0.0049150502099616,0.2841047109572984
Ir-rich,254,7.76982431147183,0.0079341533717006,0.2831566819821948
Ir-rich,205,7.754196971909485,0.0055374373765791,0.2615551335593383
Ir-rich,79,7.624804085149271,0.0040352196454222,0.2737390822356743
Ir-rich,58,7.530953123110168,0.0034664319214623,0.2712946040168115
Ir-rich,313,8.073533948128153,0.0054010174778599,0.254290383826064
Ir-rich,337,8.113529463817066,0.0047678667464548,0.2721816830713928
Ir-rich,250,7.783199758081933,0.0069871353633711,0.2704416717878573
Ir-rich,203,7.694633487941733,0.005886739440173,0.2585382133822653
Ir-rich,137,7.533074359463975,0.0052191448948084,0.2587217142942125
Ir-rich,146,7.902285382041016,0.0048825264888183,0.2804605724335089
Ir-rich,94,7.753416055726829,0.0065130599105861,0.299106394701342
Ir-rich,33,7.655372396874789,0.0039777410695698,0.2915492066771301
Ir-rich,252,7.828908928617346,0.0071534496532369,0.2761558502688002
Ir-rich,193,7.841584390356611,0.0065269588442717,0.2890003159676671
Ir-rich,67,7.675238843708647,0.0043277256662094,0.2930497217207639
Ir-rich,10,7.66929843005966,0.0039074724830356,0.29721514623577
Ir-rich,27,7.520098695319421,0.0031586169827406,0.2799642898440677
Rh-rich,223,8.366586841669207,0.0008461114133041,0.3023259968806078
Rh-rich,200,8.450598773035356,0.000597105818611,0.3093256834263771
Rh-rich,81,8.34898945310331,0.0025649070319629,0.2676026258107362
Rh-rich,148,8.192734916313418,0.0032121695748359,0.287376071181042
Rh-rich,228,8.302133268064129,0.002195091115622,0.2826205636577628
Rh-rich,329,8.091948233641967,0.002087225154556,0.2888549137883654
Rh-rich,195,8.041447331941209,0.0047859143103107,0.2987265466271004
Rh-rich,239,7.564312603608778,0.0058585236329353,0.3117451586218325
Rh-rich,145,8.215664066417926,0.0023819606394682,0.2859858193229354
Rh-rich,301,8.335338975703474,0.0016525774079447,0.2887120660599231
Rh-rich,192,8.186291355790225,0.0036697434864943,0.2918279164373265
Rh-rich,85,8.122479648446765,0.0030361611773728,0.2807766011218031
Rh-rich,28,8.103118403479552,0.0031917574476932,0.258962817084419
Rh-rich,116,8.512594670104715,0.001314399477943,0.2775137597199049
Rh-rich,293,7.977847388703965,0.0041130908938667,0.3005241714951951
Rh-rich,339,8.076099881076367,0.0023609661147056,0.2892447372963128
Rh-rich,236,8.069083516007833,0.0043403570870444,0.2956260182071895
Rh-rich,155,7.706803751537416,0.0060836793957464,0.3030341041855708
Rh-rich,233,8.107046183448215,0.0031960810137958,0.2963086606396238
Rh-rich,60,8.226181478727185,0.0024202297870891,0.261033810840871
Rh-rich,168,8.30823186796314,0.0030932490388815,0.281384514257789
Rh-rich,282,8.396692484270991,0.0010738798585843,0.2965679962264538
Rh-rich,341,8.145598822647994,0.0028237076984714,0.2896643933366983
Rh-rich,204,8.456014525689541,0.0014598470515914,0.2871179921577331
Rh-rich,248,8.37613136844707,0.0021207519260626,0.2833017400290639
Rh-rich,112,7.943793232389392,0.0056120380955058,0.2963573764834429
Rh-rich,128,8.114493851614975,0.003326290406329,0.2872370472318708
Rh-rich,254,8.083638538051302,0.0036794232097321,0.2946073357730053
