budget,initial_protocols,queries,seed,strategy,final_best_seen,final_simple_regret,regret_auc,hit_top_10_pct,hit_top_5_pct,queries_to_top_10_pct,queries_to_top_5_pct
8,5,3,33,gp_ucb,849.7406688000001,0.0,35.07338446250003,1,1,0,1
8,5,3,34,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
8,5,3,34,greedy,849.7406688000001,0.0,75.98207775000009,1,1,0,0
8,5,3,34,gp_ucb,849.7406688000001,0.0,75.98207775000009,1,1,0,0
8,5,3,35,random,647.8371267499999,201.90354205000017,201.90354205000017,0,0,4,4
8,5,3,35,greedy,647.8371267499999,201.90354205000017,201.90354205000017,0,0,4,4
8,5,3,35,gp_ucb,647.8371267499999,201.90354205000017,201.90354205000017,0,0,4,4
8,5,3,36,random,588.65270775,261.0879610500001,283.1411412750001,0,0,4,4
8,5,3,36,greedy,698.60639685,151.13427195000008,255.6527190000001,1,0,3,4
8,5,3,36,gp_ucb,709.4786504,140.2620184000001,214.4196432250001,1,1,2,3
8,5,3,37,random,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
8,5,3,37,greedy,748.4312318,101.30943700000012,101.30943700000012,1,1,0,0
8,5,3,37,gp_ucb,849.7406688000001,0.0,75.98207775000009,1,1,0,0
8,5,3,38,random,637.38784285,212.35282595000012,212.35282595000012,0,0,4,4
8,5,3,38,greedy,644.5142754,205.22639340000012,207.00800153750012,0,0,4,4
8,5,3,38,gp_ucb,644.5142754,205.22639340000012,207.00800153750012,0,0,4,4
8,5,3,39,random,686.5946031000001,163.1460657,163.1460657,0,0,4,4
8,5,3,39,greedy,849.7406688000001,0.0,116.63853745000003,1,1,2,2
8,5,3,39,gp_ucb,698.60639685,151.13427195000008,160.14311726250003,1,0,3,4
8,5,3,40,random,644.0552158,205.68545300000005,217.13272311250006,0,0,4,4
8,5,3,40,greedy,598.26613535,251.47453345000008,251.47453345000008,0,0,4,4
8,5,3,40,gp_ucb,598.26613535,251.47453345000008,251.47453345000008,0,0,4,4
8,5,3,41,random,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,41,greedy,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,41,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,42,random,698.60639685,151.13427195000008,166.4389104500001,1,0,1,4
8,5,3,42,greedy,644.5142754,205.22639340000012,208.78960967500012,0,0,4,4
8,5,3,42,gp_ucb,644.5142754,205.22639340000012,208.78960967500012,0,0,4,4
8,5,3,43,random,709.44713095,140.29353785000012,184.3220006375001,1,0,2,4
8,5,3,43,greedy,709.4786504,140.2620184000001,198.5863393125001,1,1,2,3
8,5,3,43,gp_ucb,598.26613535,251.47453345000008,251.47453345000008,0,0,4,4
8,5,3,44,random,647.8371267499999,201.90354205000017,201.90354205000017,0,0,4,4
8,5,3,44,greedy,709.4786504,140.2620184000001,171.08278022500014,1,1,2,2
8,5,3,44,gp_ucb,709.4786504,140.2620184000001,171.08278022500014,1,1,2,2
8,5,3,45,random,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,45,greedy,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,45,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,46,random,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,46,greedy,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,46,gp_ucb,849.7406688000001,0.0,0.0,1,1,0,0
8,5,3,47,random,642.4142075,207.32646130000012,218.78940685000015,0,0,4,4
8,5,3,47,greedy,627.1302800999999,222.61038870000016,222.61038870000016,0,0,4,4
