step,strategy,best_seen,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_protocol_id,seed
7,random,748.4312318,101.30943700000012,1,1,Periodic_C_Co10,5
8,random,748.4312318,101.30943700000012,1,1,Synthetic_2b_Co2,5
9,random,748.4312318,101.30943700000012,1,1,CC_(no_storage)_Co10,5
10,random,748.4312318,101.30943700000012,1,1,CC_(100%_storage)_Co10,5
11,random,748.4312318,101.30943700000012,1,1,CC_(100%_storage)_Co2,5
12,random,748.4312318,101.30943700000012,1,1,Periodic_E_Co10,5
13,random,748.4312318,101.30943700000012,1,1,CC_(100%_storage)_Co5,5
14,random,748.4312318,101.30943700000012,1,1,Periodic_C_Co5,5
15,random,748.4312318,101.30943700000012,1,1,Drive_City1_Co10,5
0,greedy,748.4312318,101.30943700000012,1,1,,5
1,greedy,748.4312318,101.30943700000012,1,1,CC_(100%_storage)_Co10,5
2,greedy,748.4312318,101.30943700000012,1,1,Periodic_A_Co10,5
3,greedy,748.4312318,101.30943700000012,1,1,Synthetic_2b_Co2,5
4,greedy,748.4312318,101.30943700000012,1,1,Periodic_A_Co2,5
5,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co2,5
6,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,5
7,greedy,849.7406688000001,0.0,1,1,Periodic_D_Co2,5
8,greedy,849.7406688000001,0.0,1,1,Synthetic_3_Co5,5
9,greedy,849.7406688000001,0.0,1,1,Periodic_D_Co5,5
10,greedy,849.7406688000001,0.0,1,1,Synthetic_1a_Co5,5
11,greedy,849.7406688000001,0.0,1,1,Synthetic_1b_Co10,5
12,greedy,849.7406688000001,0.0,1,1,Synthetic_1b_Co16,5
13,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,5
14,greedy,849.7406688000001,0.0,1,1,Periodic_B_Co2,5
15,greedy,849.7406688000001,0.0,1,1,Periodic_E_Co2,5
0,gp_ucb,748.4312318,101.30943700000012,1,1,,5
1,gp_ucb,748.4312318,101.30943700000012,1,1,CC_(100%_storage)_Co10,5
