policy_id,C1,C2,C3,C4,reference_true_lifetime,reference_mean_lifetime,reference_std_lifetime
ATTIA_P026,4.4,7.0,5.2,3.691,704,713.46,161.26998657973706
ATTIA_P027,4.4,7.0,5.6,3.513,650,621.62,169.99374418261542
ATTIA_P028,4.8,4.4,5.6,4.563,939,952.82,158.26182001186953
ATTIA_P029,4.8,4.8,5.2,4.457,962,985.3,158.3115309013419
ATTIA_P030,4.8,4.8,5.6,4.2,887,882.98,165.1881413443965
ATTIA_P031,4.8,5.2,4.8,4.457,966,946.88,155.01976700816354
ATTIA_P032,4.8,5.2,5.2,4.16,986,971.82,177.95730856997525
ATTIA_P033,4.8,5.2,5.6,3.935,852,827.1,141.4814114854611
ATTIA_P034,4.8,5.6,4.4,4.563,948,944.68,150.29310682524223
ATTIA_P035,4.8,5.6,4.8,4.2,892,905.82,158.26182001186953
ATTIA_P036,4.8,5.6,5.2,3.935,854,836.38,158.43686568524154
ATTIA_P037,4.8,5.6,5.6,3.733,787,725.06,154.8014409572759
ATTIA_P038,4.8,6.0,4.0,4.8,1036,1015.38,164.14850046248253
ATTIA_P039,4.8,6.0,4.4,4.328,924,947.3,158.3115309013419
ATTIA_P040,4.8,6.0,4.8,4.0,922,917.98,165.1881413443965
ATTIA_P041,4.8,6.0,5.2,3.759,878,932.06,182.18004214266182
ATTIA_P042,4.8,6.0,5.6,3.574,776,766.32,148.23966254353255
ATTIA_P043,4.8,7.0,4.0,4.308,770,755.82,177.95730856997525
ATTIA_P044,4.8,7.0,4.4,3.924,714,689.1,141.4814114854611
ATTIA_P045,4.8,7.0,4.8,3.652,705,702.7,178.95812416339646
ATTIA_P046,4.8,7.0,5.2,3.45,685,698.96,181.19286826529373
ATTIA_P047,4.8,7.0,5.6,3.294,647,662.38,178.54558555855976
ATTIA_P048,5.2,4.0,5.6,4.707,1018,1041.3,158.3115309013419
ATTIA_P049,5.2,4.4,5.2,4.516,1071,1051.88,155.01976700816354
ATTIA_P050,5.2,4.4,5.6,4.252,909,894.82,177.95730856997525
ATTIA_P051,5.2,4.8,4.8,4.457,980,976.68,150.29310682524223
ATTIA_P052,5.2,4.8,5.2,4.16,1001,1014.82,158.26182001186953
ATTIA_P053,5.2,4.8,5.6,3.935,862,844.38,158.43686568524154
ATTIA_P054,5.2,5.2,4.4,4.516,1075,1054.38,164.14850046248253
ATTIA_P055,5.2,5.2,4.8,4.16,1003,1026.3,158.3115309013419
ATTIA_P056,5.2,5.2,5.2,3.9,954,949.98,165.1881413443965
ATTIA_P057,5.2,5.2,5.6,3.702,867,921.06,182.18004214266182
ATTIA_P058,5.2,5.6,4.0,4.707,1030,1011.26,138.7399284816813
ATTIA_P059,5.2,5.6,4.4,4.252,917,897.88,155.01976700816354
ATTIA_P060,5.2,5.6,4.8,3.935,867,852.82,177.95730856997525
ATTIA_P061,5.2,5.6,5.2,3.702,868,843.1,141.4814114854611
ATTIA_P062,5.2,5.6,5.6,3.523,769,766.7,178.95812416339646
ATTIA_P063,5.2,6.0,4.0,4.457,1004,1000.68,150.29310682524223
ATTIA_P064,5.2,6.0,4.4,4.047,949,962.82,158.26182001186953
ATTIA_P065,5.2,6.0,4.8,3.759,891,873.38,158.43686568524154
ATTIA_P066,5.2,6.0,5.2,3.545,853,791.06,154.8014409572759
ATTIA_P067,5.2,6.0,5.6,3.381,781,790.46,161.26998657973706
ATTIA_P068,5.2,7.0,3.6,4.537,816,839.3,158.3115309013419
ATTIA_P069,5.2,7.0,4.0,4.03,783,778.98,165.1881413443965
ATTIA_P070,5.2,7.0,4.4,3.691,719,773.06,182.18004214266182
ATTIA_P071,5.2,7.0,4.8,3.45,692,682.32,148.23966254353255
ATTIA_P072,5.2,7.0,5.2,3.269,673,686.58,178.24909078967818
ATTIA_P073,5.2,7.0,5.6,3.129,637,649.86,176.0649242496086
ATTIA_P074,5.6,4.0,5.2,4.707,1041,1037.68,150.29310682524223
ATTIA_P075,5.6,4.0,5.6,4.421,890,903.82,158.26182001186953
ATTIA_P076,5.6,4.4,4.8,4.563,974,953.38,164.14850046248253
ATTIA_P077,5.6,4.4,5.2,4.252,926,949.3,158.3115309013419
ATTIA_P078,5.6,4.4,5.6,4.017,850,845.98,165.1881413443965
ATTIA_P079,5.6,4.8,4.4,4.563,975,956.26,138.7399284816813
ATTIA_P080,5.6,4.8,4.8,4.2,917,897.88,155.01976700816354
ATTIA_P081,5.6,4.8,5.2,3.935,876,861.82,177.95730856997525
ATTIA_P082,5.6,4.8,5.6,3.733,806,781.1,141.4814114854611
ATTIA_P083,5.6,5.2,4.0,4.707,1044,1065.68,191.9310505448905
ATTIA_P084,5.6,5.2,4.4,4.252,928,924.68,150.29310682524223
ATTIA_P085,5.6,5.2,4.8,3.935,878,891.82,158.26182001186953
ATTIA_P086,5.6,5.2,5.2,3.702,879,861.38,158.43686568524154
ATTIA_P087,5.6,5.2,5.6,3.523,776,714.06,154.8014409572759
ATTIA_P088,5.6,5.6,4.0,4.421,897,876.38,164.14850046248253
ATTIA_P089,5.6,5.6,4.4,4.017,852,875.3,158.3115309013419
ATTIA_P090,5.6,5.6,4.8,3.733,807,802.98,165.1881413443965
ATTIA_P091,5.6,5.6,5.2,3.523,777,831.06,182.18004214266182
ATTIA_P092,5.6,5.6,5.6,3.36,721,711.32,148.23966254353255
ATTIA_P093,5.6,6.0,3.6,4.755,970,951.26,138.7399284816813
ATTIA_P094,5.6,6.0,4.0,4.2,930,910.88,155.01976700816354
ATTIA_P095,5.6,6.0,4.4,3.834,836,821.82,177.95730856997525
ATTIA_P096,5.6,6.0,4.8,3.574,795,770.1,141.4814114854611
ATTIA_P097,5.6,6.0,5.2,3.381,789,786.7,178.95812416339646
ATTIA_P098,5.6,6.0,5.6,3.231,713,726.96,181.19286826529373
ATTIA_P099,5.6,7.0,3.6,4.271,737,750.82,158.26182001186953
ATTIA_P100,5.6,7.0,4.0,3.818,712,694.38,158.43686568524154
ATTIA_P101,5.6,7.0,4.4,3.513,666,604.06,154.8014409572759
ATTIA_P102,5.6,7.0,4.8,3.294,656,665.46,161.26998657973706
ATTIA_P103,5.6,7.0,5.2,3.129,641,612.62,169.99374418261542
ATTIA_P104,5.6,7.0,5.6,3.0,611,533.78,182.62197936431087
ATTIA_P105,6.0,3.6,5.6,4.755,974,997.3,158.3115309013419
ATTIA_P106,6.0,4.0,4.8,4.8,1076,1057.26,138.7399284816813
ATTIA_P107,6.0,4.0,5.2,4.457,1023,1003.88,155.01976700816354
ATTIA_P108,6.0,4.0,5.6,4.2,938,923.82,177.95730856997525
ATTIA_P109,6.0,4.4,4.4,4.714,1017,1038.68,191.9310505448905
ATTIA_P110,6.0,4.4,4.8,4.328,958,954.68,150.29310682524223
ATTIA_P111,6.0,4.4,5.2,4.047,971,984.82,158.26182001186953
ATTIA_P112,6.0,4.4,5.6,3.834,841,823.38,158.43686568524154
ATTIA_P113,6.0,4.8,4.0,4.8,1079,1086.94,154.81225100496565
ATTIA_P114,6.0,4.8,4.4,4.328,960,939.38,164.14850046248253
ATTIA_P115,6.0,4.8,4.8,4.0,957,980.3,158.3115309013419
