step,strategy,seed,best_simulated_lifetime,best_reference_mean,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_policy_id,budget
5,random,4,990.0,948.06,138.8800000000001,0,0,ATTIA_P000,30
6,random,4,990.0,948.06,138.8800000000001,0,0,ATTIA_P206,30
7,random,4,1034.0,985.3,101.6400000000001,1,0,ATTIA_P029,30
8,random,4,1034.0,985.3,101.6400000000001,1,0,ATTIA_P088,30
9,random,4,1034.0,985.3,101.6400000000001,1,0,ATTIA_P177,30
10,random,4,1034.0,985.3,101.6400000000001,1,0,ATTIA_P090,30
11,random,4,1034.0,985.3,101.6400000000001,1,0,ATTIA_P200,30
12,random,4,1243.0,985.3,101.6400000000001,1,0,ATTIA_P076,30
13,random,4,1243.0,985.3,101.6400000000001,1,0,ATTIA_P034,30
14,random,4,1243.0,985.3,101.6400000000001,1,0,ATTIA_P198,30
15,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P106,30
16,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P112,30
17,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P219,30
18,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P180,30
19,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P150,30
20,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P067,30
21,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P157,30
22,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P032,30
23,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P138,30
24,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P030,30
25,random,4,1243.0,1057.26,29.680000000000064,1,1,ATTIA_P183,30
0,greedy,4,990.0,836.38,250.56000000000006,0,0,,30
1,greedy,4,990.0,861.38,225.56000000000006,0,0,ATTIA_P086,30
2,greedy,4,990.0,948.06,138.8800000000001,0,0,ATTIA_P000,30
3,greedy,4,990.0,948.06,138.8800000000001,0,0,ATTIA_P002,30
4,greedy,4,990.0,966.98,119.96000000000004,0,0,ATTIA_P003,30
5,greedy,4,1003.0,966.98,119.96000000000004,0,0,ATTIA_P004,30
6,greedy,4,1114.0,966.98,119.96000000000004,0,0,ATTIA_P005,30
7,greedy,4,1114.0,1013.82,73.12,1,0,ATTIA_P006,30
8,greedy,4,1114.0,1013.82,73.12,1,0,ATTIA_P007,30
9,greedy,4,1114.0,1013.82,73.12,1,0,ATTIA_P008,30
